业务,客户编码,MDMID,订单编码,订单行号,订单行号代码,结算单编码,结算单行号,收入含税金额,收入不含税金额
零售,601488,10021857,12508832,19,HLB-1688d773-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508832,18,HLB-1688d6ac-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508832,17,HLB-1688d70e-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508832,16,HLB-1688d786-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508832,15,HLB-1688d670-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508832,14,HLB-1688d6e8-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508832,13,HLB-1688d609-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508832,12,HLB-1688d6fb-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508832,11,HLB-1688d6d4-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508832,10,HLB-1688d75f-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508832,9,HLB-1688d74c-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508832,8,HLB-1688d646-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508832,7,HLB-1688d6bf-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508832,6,HLB-1688d723-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508832,5,HLB-1688d739-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508832,4,HLB-1688d632-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508832,3,HLB-1688d61c-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508832,2,HLB-1688d698-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508832,1,HLB-1688d683-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12440648,1,HLB-a0bcdd89-530b-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,566.78,501.58
零售,601488,10021857,12488299,1,HLB-21bc51e8-556e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12384611,1,HLB-edef6859-4fc9-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,11930784,1,HLB-206a2d12-2ef2-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508816,20,HLB-14ccfcff-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508816,19,HLB-14ccfcd8-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12508816,18,HLB-14ccfd88-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
