DMS结算订单,DMS行唯一ID,DMS行下层明细ID,DMS参考订单号码,DMS订单行号,工厂,DRP订单金额,DRP/LTC折扣金额,SD 凭证,交货,开票凭证,处理日期,处理时间,消息文本,信息类型,DMS收入确认回传,消息文本.1
ZRTC20260407044,1-7O45EG,QC@76223544,12064553,HLB-b35d633b-3a13-11f0-8cdb-0c42a112278c,1000.0,-1082.96,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EG,QC@76223561,12064553,HLB-b35d6306-3a13-11f0-8cdb-0c42a112278c,1000.0,-1082.96,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EG,QC@76223582,12064553,HLB-b35d62bf-3a13-11f0-8cdb-0c42a112278c,1000.0,-1082.96,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EG,QC@76223588,12064553,HLB-b35d62a7-3a13-11f0-8cdb-0c42a112278c,1000.0,-1082.99,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EH,QC@74141388,12064843,HLB-0665bebf-3a16-11f0-8cdb-0c42a112278c,1000.0,-1165.91,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EH,QC@76223519,12064553,HLB-b35d65c8-3a13-11f0-8cdb-0c42a112278c,1000.0,-1165.91,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EH,QC@76223520,12064553,HLB-b384159d-3a13-11f0-8cdb-0c42a112278c,1000.0,-1165.91,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EH,QC@76223531,12064553,HLB-b3841584-3a13-11f0-8cdb-0c42a112278c,1000.0,-1165.91,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EH,QC@76223534,12064553,HLB-b35d659e-3a13-11f0-8cdb-0c42a112278c,1000.0,-1165.91,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EH,QC@76223562,12064553,HLB-b35d65b2-3a13-11f0-8cdb-0c42a112278c,1000.0,-1165.91,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EH,QC@76223564,12064553,HLB-b38415b7-3a13-11f0-8cdb-0c42a112278c,1000.0,-1165.91,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EH,QC@76223577,12064553,HLB-b3841514-3a13-11f0-8cdb-0c42a112278c,1000.0,-1165.91,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EH,QC@76223595,12064553,HLB-b38415d0-3a13-11f0-8cdb-0c42a112278c,1000.0,-1165.97,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EI,QC@76223563,12064553,HLB-b35d6423-3a13-11f0-8cdb-0c42a112278c,1000.0,-1165.91,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EI,QC@76223565,12064553,HLB-b35d643e-3a13-11f0-8cdb-0c42a112278c,1000.0,-1165.92,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EJ,QC@76223511,12064553,HLB-b35d64d1-3a13-11f0-8cdb-0c42a112278c,1000.0,-1165.91,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EJ,QC@76223512,12064553,HLB-b35d6503-3a13-11f0-8cdb-0c42a112278c,1000.0,-1165.91,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EJ,QC@76223525,12064553,HLB-b35d6572-3a13-11f0-8cdb-0c42a112278c,1000.0,-1165.91,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EJ,QC@76223537,12064553,HLB-b35d6586-3a13-11f0-8cdb-0c42a112278c,1000.0,-1165.91,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EJ,QC@76223541,12064553,HLB-b35d6548-3a13-11f0-8cdb-0c42a112278c,1000.0,-1165.91,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EJ,QC@76223545,12064553,HLB-b35d655d-3a13-11f0-8cdb-0c42a112278c,1000.0,-1165.91,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EJ,QC@76223566,12064553,HLB-b35d64ee-3a13-11f0-8cdb-0c42a112278c,1000.0,-1165.91,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EJ,QC@76223571,12064553,HLB-b35d6519-3a13-11f0-8cdb-0c42a112278c,1000.0,-1165.91,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
